iter	MAPE	RMSE	MAE
0	0.9865341697	1890058.304	1192015.782
1	0.9680235382	1861794.845	1169428.103
2	0.9504664469	1834560.602	1147434.344
3	0.9331503658	1807755.056	1126244.726
4	0.9165610198	1780494.738	1105094.581
5	0.9007799969	1757095.582	1085222.43
6	0.8837694647	1731410.081	1065166.506
7	0.8687582737	1706972.567	1045948.584
8	0.8539942371	1683319.817	1027095.386
9	0.8387689739	1661249.237	1008923.987
10	0.8240068987	1638589.432	990718.1145
11	0.8106741556	1618431.84	974460.7923
12	0.7962809624	1597667.93	956777.6705
13	0.7822559747	1575982.112	940010.739
14	0.7693249763	1554899.347	923980.7602
15	0.7571729618	1536686.756	909156.3356
16	0.7450053323	1518562.216	894768.5852
17	0.7321853024	1499478.826	880120.5987
18	0.7213248429	1481553.559	866211.4369
19	0.7089746955	1463326.221	851800.9536
20	0.6969303212	1444933.073	837425.6629
21	0.6848424046	1427657.321	823242.8794
22	0.6743892453	1411167.365	811253.7073
23	0.6632745973	1394319.664	798177.6157
24	0.6541074194	1379965.528	787187.7866
25	0.6434277791	1364721.534	774685.6402
26	0.6339977321	1348513.128	762773.543
27	0.6238227812	1333169.36	750918.5771
28	0.6139250829	1318973.15	739673.0787
29	0.6057524589	1306193.679	729834.5415
30	0.5980656172	1293141.452	720710.9656
31	0.5900135271	1279731.758	710614.5485
32	0.5804015302	1265851.835	699866.0115
33	0.5723917712	1252661.689	690729.6417
34	0.5639892102	1239627.788	680685.1018
35	0.5563325553	1227798.615	671409.509
36	0.5476266536	1216042.859	662193.876
37	0.5395084792	1204684.398	653513.9057
38	0.532636388	1194299.2	645844.3686
39	0.5256488663	1182691.165	637559.6033
40	0.5179253657	1172227.355	629167.3574
41	0.5124985542	1162576.264	622751.6061
42	0.5056040967	1151126.32	614997.951
43	0.4989011612	1140965.332	607362.6031
44	0.4916876546	1130921.199	599839.0902
45	0.4859464998	1121121.927	593270.8122
46	0.4800134768	1110990.423	586870.9272
47	0.4748646251	1102097.265	580877.7394
48	0.4692230065	1093502.446	574573.1955
49	0.4644289758	1084366.698	569170.8306
50	0.4581378385	1075517.393	562628.191
51	0.4529363371	1066876.849	557568.6534
52	0.4482260503	1058958.428	552168.2483
53	0.4424613551	1051872.709	545899.1933
54	0.4371540096	1043997.351	540255.3467
55	0.431903843	1035985.933	534486.7891
56	0.4273075948	1029387.463	529840.5176
57	0.4222952497	1022379.97	524910.6475
58	0.4179916313	1014286.735	520162.9938
59	0.4143400719	1008053.721	516303.6981
60	0.4094473582	1001451.963	511438.4548
61	0.4052235349	994460.1708	506976.2917
62	0.400769612	987255.4088	502105.4935
63	0.3959523406	980423.7689	497867.5058
64	0.3922819403	974158.3006	494267.1871
65	0.3888550193	969023.4335	491097.4409
66	0.3852348076	963122.3043	487690.072
67	0.3813140805	956810.6128	483576.1515
68	0.376861249	950676.491	479279.8533
69	0.3740922562	945275.7494	476059.9882
70	0.3705076316	939615.8238	472437.6537
71	0.366928107	933313.6875	468875.4179
72	0.3640807972	927876.365	465838.0185
73	0.3616815115	923012.0453	463418.0996
74	0.3577223278	918325.7504	459944.0043
75	0.35485958	912792.9341	456976.0756
76	0.3522282012	907416.1255	453998.2855
77	0.3485099633	901950.3729	450514.7072
78	0.344970146	896808.0344	447517.7035
79	0.3423509956	892257.9471	444932.7664
80	0.3390857371	888029.552	442362.0936
81	0.3368615231	883990.7947	440395.8383
82	0.3350562235	880121.6972	438638.5934
83	0.3327546593	876315.086	436915.7652
84	0.3294821827	872093.2681	434336.4982
85	0.3262158142	867753.3303	431032.1355
86	0.32385434	863634.9909	428496.8222
87	0.3217263058	859681.2615	426119.3228
88	0.3191455029	855232.504	423593.2712
89	0.3178636732	851717.2502	422315.4032
90	0.3150231704	847534.8249	419700.7509
91	0.3131342049	844540.2371	418012.306
92	0.3104788162	840271.8474	415530.0254
93	0.3078380055	836115.4533	413283.7747
94	0.3062116362	833792.5159	412079.6323
95	0.304841477	832233.7779	411163.2842
96	0.3038857038	829070.4921	410089.8662
97	0.3022046939	826647.906	408455.8599
98	0.3022110934	825966.0405	408409.1626
99	0.2996251657	823055.0566	406321.2114
100	0.2996300973	822348.2428	406253.2349
101	0.2982980965	819151.6047	404830.8979
102	0.298291895	818453.1548	404757.1459
103	0.2982991222	817786.4602	404700.3659
104	0.2983016434	817115.7299	404633.8963
105	0.2955009876	813437.4033	402099.3615
106	0.295490004	812747.7559	402041.0551
107	0.2934052324	809455.0867	400337.2364
108	0.290971899	805577.1719	398299.2191
109	0.2909983781	804963.0619	398254.1938
110	0.2897469694	802292.9684	397047.9565
111	0.2897450122	801655.9454	396993.2502
112	0.2897490548	801028.5464	396917.8979
113	0.2897332941	800436.1198	396863.7744
114	0.287835301	796768.6855	394914.9516
