iter	Passed	Remaining
0	52	264424
1	57	143269
2	60	101091
3	64	80482
4	68	67996
5	75	62963
6	79	56685
7	82	51397
8	85	47630
9	88	43999
10	90	41064
11	92	38555
12	94	36420
13	97	34576
14	99	32986
15	101	31604
16	103	30403
17	105	29299
18	107	28295
19	110	27412
20	112	26639
21	114	25913
22	116	25239
23	118	24625
24	120	24058
25	123	23535
26	125	23043
27	127	22598
28	129	22187
29	131	21796
30	133	21430
31	135	21082
32	137	20764
33	140	20493
34	142	20243
35	145	20015
36	147	19760
37	149	19515
38	151	19286
39	153	19059
40	155	18851
41	157	18648
42	160	18469
43	162	18280
44	164	18106
45	166	17939
46	168	17784
47	170	17640
48	173	17487
49	175	17347
50	177	17211
51	179	17073
52	181	16943
53	183	16816
54	185	16690
55	188	16610
56	190	16510
57	192	16412
58	194	16307
59	196	16211
60	199	16122
61	201	16027
62	203	15936
63	205	15856
64	207	15781
65	210	15701
66	212	15613
67	214	15536
68	216	15463
69	218	15383
70	220	15310
71	222	15238
72	224	15167
73	226	15101
74	228	15032
75	231	14969
76	233	14909
77	235	14848
78	237	14785
79	239	14727
80	241	14669
81	243	14608
82	245	14550
83	247	14496
84	249	14440
85	251	14389
86	253	14336
87	255	14283
88	258	14238
89	260	14188
90	262	14141
91	264	14092
92	266	14048
93	268	14004
94	270	13955
95	272	13907
96	274	13866
97	276	13824
98	278	13779
99	280	13739
100	282	13697
101	284	13662
102	286	13621
103	288	13582
104	290	13548
105	292	13515
106	294	13480
107	296	13446
108	298	13411
109	300	13377
110	302	13343
111	304	13310
112	306	13276
113	309	13243
114	311	13214
115	313	13184
116	315	13154
117	317	13123
118	319	13096
119	321	13065
120	323	13036
121	325	13009
122	327	12982
123	329	12953
124	331	12928
125	333	12900
126	335	12873
127	337	12847
128	339	12820
129	341	12799
130	343	12756
131	345	12731
132	347	12709
133	349	12686
134	351	12665
135	353	12643
136	355	12620
137	357	12597
138	359	12575
139	361	12553
140	363	12529
141	365	12506
142	366	12454
143	368	12436
144	371	12432
145	373	12426
146	375	12404
147	377	12385
148	379	12366
149	381	12347
150	383	12326
151	385	12292
152	387	12280
153	389	12258
154	391	12241
155	393	12223
156	395	12206
157	397	12188
158	399	12171
159	401	12152
160	404	12145
161	406	12137
162	408	12133
163	411	12127
164	413	12108
165	415	12093
166	417	12077
167	419	12061
168	421	12045
169	423	12031
170	425	12016
171	427	11999
172	429	11982
173	431	11967
174	433	11952
175	435	11938
176	437	11923
177	439	11908
178	441	11895
179	443	11880
180	445	11866
181	447	11852
182	449	11837
183	451	11823
184	453	11810
185	455	11796
186	457	11784
187	459	11771
188	461	11756
189	463	11742
190	465	11729
191	467	11715
192	469	11701
193	471	11691
194	473	11678
195	475	11666
196	478	11663
197	480	11654
198	482	11641
199	484	11633
200	486	11627
201	489	11616
202	491	11607
203	493	11597
204	495	11592
205	497	11583
206	499	11573
207	501	11562
208	503	11550
209	505	11537
210	507	11516
211	509	11505
212	511	11493
213	513	11481
214	515	11471
215	517	11461
216	519	11453
217	521	11443
218	523	11432
219	525	11421
220	527	11412
221	529	11401
222	531	11390
223	533	11379
224	535	11370
225	537	11360
226	539	11350
227	541	11340
228	543	11330
229	545	11322
230	548	11313
231	550	11304
232	552	11295
233	554	11287
234	556	11279
235	558	11269
236	560	11260
237	562	11252
238	564	11244
239	566	11236
240	568	11227
